"query","search interest","increase percent"
"towing capacity",100,"20%"
"vancouver towing",21,"-5%"
"towing vancouver",21,"-7%"
"car towing",21,"7%"
"toyota",18,"20%"
"towing company",17,"6%"
"towing service",12,"5%"
"towing near me",12,"-10%"
"bcaa towing",9,"-7%"
"clover towing",9,"-20%"
"bcaa",9,"-8%"
"busters towing",9,"-30%"
"towing surrey",9,"-8%"
"busters",9,"-20%"
"surrey towing",9,"-10%"
"towing services",6,"1%"
"tow truck",6,"9%"
"tacoma towing capacity",6,"7%"
"reliable towing",5,"30%"
"towing victoria",5,"-2%"
"towing richmond",5,"20%"
"marios towing",5,"90%"
"ram 1500 towing capacity",5,"40%"
"mario's towing",4,"-8%"
"toyota tacoma towing capacity",4,"20%"
"coquitlam towing",4,"-2%"
"towing burnaby",4,"-30%"
"burnaby towing",4,"-30%"
"cheap towing",3,"10%"
"rav4 towing capacity",3,"20%"
"ford ranger towing capacity",3,"350%"
"jacks towing",3,"-30%"
"chilliwack towing",3,"-20%"
"nanaimo towing",3,"-1%"
"mission towing",3,"20%"
"penticton towing",3,"-30%"
"mid island towing",3,"-20%"
"maple ridge towing",3,"-20%"
"toyota tundra towing capacity",3,"40%"
"emergency towing",3,"-20%"
"vancouver towing company",2,"-8%"
"marios towing kelowna",2,"250%"
"busters towing vancouver",2,"-40%"
"towing company vancouver",2,"-20%"
"tiger towing",2,"30%"
"totem towing",2,"-50%"
"mundies towing",2,"-40%"
"georgia straight towing",2,"Breakout"
"hope towing",2,"-9%"
"ford maverick towing capacity",2,"200%"